year,Date,n.days,hour,minute,h.from.sunset,h.sset,n.tracks,gspeed,aspeed_UV,s.speed,slope.angle,vspeed.g,vspeed.a,Wrad,Brad,Ws,Vcomp,Ucomp,dist.coast_km,height1,height2,elevation.m,brd.long,brd.lat,brd.long.sd,brd.lat.sd,comp.drift,comp.drift.sd,Wdeg,Wdeg.to,Bdeg,Bdeg360,CW,TW,aspeed,s.gspeed.187,s.aspeed.187
2014,2014-08-28,240,12,0,-7.18385224274406,-7,758,16.36018469656992,18.58905457932366,0.8244470337598944,-0.262800193904781,-1.8734307391451188,-1.9183444976134565,-1.7453293071795866,-3.084956864904022,6.3,-1.093984,-6.204289,21.18331016503958,557.4865171503958,551.1395910290238,152.22833466507961,34.911723,31.8704095,NA,NA,0.5521108179419525,NA,-100.00000316188232,79.99999683811768,-176.75500833891056,183.24499166108944,-6.001767226195287,-1.9154086150396576,19.235865479067495,-1.270797627508816,-1.4941696971796918
2014,2014-08-28,240,12,15,-6.92,-7,848,16.63518867924528,17.382836200758607,0.6258793130377358,-0.0173486053443013,-0.09570664223231132,-0.10101219821933961,-1.553343307179587,-3.105857385934232,5.1,0.08900727,-5.099223,24.343825649764153,588.1333254716981,586.1033844339622,207.15357268384605,34.924195499999996,31.837236500000003,NA,NA,0.5400943396226415,NA,-89.00001563628372,90.99998436371628,-177.952519983566,182.047480016434,-5.065170150262167,-0.5950221415150273,17.959290453104003,-1.6384850795779855,-1.7689026565674812
2014,2014-08-28,240,12,30,-6.68426927502877,-7,869,16.627917146144995,17.550960668503638,0.6833493266513233,-0.238221264994143,-1.3588621086962025,-1.4671835063716916,-1.5707963071795865,-3.0927080607182225,5.4,-3.306437e-16,-5.4,22.530142945224394,507.0829919447641,502.92898734177214,171.36708306101667,34.921533,31.857334,NA,NA,0.5310701956271576,NA,-89.99999887612552,90.00000112387448,-177.19911914524369,182.80088085475631,-5.3513092926522905,-0.7235252962911842,18.157892663489406,-1.4200508203732747,-1.5507131859275596
2014,2014-08-28,240,13,0,-6.19,-6,614,16.612915309446254,16.874538769052737,1.459587835130293,-0.262977130370375,-1.968154964543974,-2.185022380179153,-1.431170307179588,-3.0436881172862615,5.7,0.7932867,-5.644528,25.418626477198696,560.7229641693812,554.9852768729642,234.47532335968063,34.962202500000004,31.851717999999998,NA,NA,0.5627035830618893,NA,-82.00001836583198,97.99998163416802,-174.39048327462228,185.60951672537772,-5.699921875376681,0.02984316676197959,17.53531839103211,-0.6060012990006121,-0.6396484617791617
2014,2014-08-28,240,13,15,-5.9373095623987,-6,617,16.20740680713128,16.46439011949277,2.2534790327228524,-0.0377253604337124,-0.14077551290113452,-0.17487860173419778,-1.4509710421470285,-2.9776685543971935,5.080713128038898,0.6061198833063209,-5.044330896272285,26.38919552074554,494.5253808752026,496.01128038897895,230.9240404227284,34.960213,31.828965,NA,NA,0.6094003241491086,NA,-83.13451691072342,96.86548308927658,-170.60784095578018,189.39215904421982,-5.080174223279303,-0.07399831454385802,17.055565744793718,0.47859586641612695,0.5036415363656545
2014,2014-08-28,240,13,30,-5.69,-6,749,16.30758344459279,17.098677499691878,1.5163269804672896,-0.0214940704733317,-0.14130112430707611,-0.15049949775033378,-1.5358893071795867,-3.0332011648448542,5.5,0.1919472,-5.49665,25.775500674098797,544.5150200267022,544.8942323097464,220.74613998377797,34.944493,31.825656,NA,NA,0.6088117489986649,NA,-87.99997510066237,92.00002489933763,-173.78962515977523,186.21037484022477,-5.472805872176801,-0.5462562452431369,17.720144367505068,-0.42393087610729085,-0.460651717772135
2014,2014-08-28,240,14,0,-5.19,-5,607,16.623986820428335,16.31375569001088,1.6184019021087315,0.028992756422504,0.38328049082207577,0.3948599007792422,-1.3613573071795828,-3.030212048097654,4,0.8316468,-3.91259,27.349278644151564,497.4059637561779,498.01960461285006,235.97957061010445,34.952616,31.818924,NA,NA,0.5930807248764415,NA,-78.00002811068487,101.99997188931513,-173.6183613856888,186.3816386143112,-3.988740681245436,0.29991295033341564,16.80432801210861,-0.38247997674005363,-0.38662921576100756
2014,2014-08-28,240,14,15,-4.94,-5,728,16.60107142857143,17.021925403270814,0.8392915085851649,0.00414847303342612,-0.01500087362912087,-0.011805355381868148,-1.5358893071795867,-3.083692206650347,4.2,0.1465779,-4.197441,26.773794206043956,514.8199313186814,513.9821978021978,231.09490132067535,34.960625,31.8315955,NA,NA,0.5467032967032966,NA,-87.99997510066237,92.00002489933763,-176.68254875844858,183.31745124155142,-4.17923357511683,-0.4171411327311227,17.523856654773795,-1.268576527983822,-1.3390914753694376
2014,2014-08-28,240,14,45,-4.42303236797274,-4,587,16.622095400340715,16.364772930680697,0.5935858819931857,-0.0283302358399201,-0.3164292362487223,-0.3346282943867121,-1.3682304551895372,-3.104037020448118,4.415161839863714,0.8888547441226575,-4.323330415672913,30.621832490630325,539.0554514480409,539.4764906303237,298.95422754370384,35.006863,31.838058,NA,NA,0.5502555366269165,NA,-78.39383048362399,101.60616951637601,-177.84822072404037,182.15177927595963,-4.404905194954252,0.30077283064429394,16.90528793604583,-1.607081600544094,-1.6344616331201187
2014,2014-08-28,240,15,0,-4.17,-4,799,16.571126408010013,16.123020100217982,0.7938339690988736,-0.0535711852229257,-0.621184585465582,-0.6508795282790989,-1.3264503071795872,-3.1069051239947933,3.7,0.895111,-3.590094,30.33633908635795,506.28495619524404,505.98857321652065,294.5769938472587,35.010052,31.832583,NA,NA,0.5387984981226533,NA,-76.00000433522194,103.99999566477806,-178.01255095247137,181.98744904752863,-3.677655565904979,0.4060166727711189,16.578176112399913,-1.6494521355057643,-1.6501538470052906
